Article,nazva,Year,ACC,TOTPROV,CONVIC,PROB,IMP,RESTOL,ARREST,CORRW,PUBLW,FINE,DEPR,LIFEIMP
262,"Стаття 262. Викрадення, привласнення, вимагання вогнепальної зброї, бойових припасів, вибухових речовин чи радіоактивних матеріалів або заволодіння ними шляхом шахрайства або зловживання службовим становищем",2018,102,4,0,0,0,0,0,0,0,0,0,0
262,"Стаття 262. Викрадення, привласнення, вимагання вогнепальної зброї, бойових припасів, вибухових речовин чи радіоактивних матеріалів або заволодіння ними шляхом шахрайства або зловживання службовим становищем",2019,95,14,4,2,2,0,0,0,0,0,0,0
262,"Стаття 262. Викрадення, привласнення, вимагання вогнепальної зброї, бойових припасів, вибухових речовин чи радіоактивних матеріалів або заволодіння ними шляхом шахрайства або зловживання службовим становищем",2013,41,18,16,7,8,0,0,0,1,0,0,0
262,"Стаття 262. Викрадення, привласнення, вимагання вогнепальної зброї, бойових припасів, вибухових речовин чи радіоактивних матеріалів або заволодіння ними шляхом шахрайства або зловживання службовим становищем",2014,445,34,12,8,4,0,0,0,0,0,0,0
308,"Стаття 308. Викрадення, привласнення, вимагання наркотичних засобів, психотропних речовин або їх аналогів чи заволодіння ними шляхом шахрайства або зловживання службовим становищем",2013,31,23,34,18,16,0,0,0,0,0,0,0
308,"Стаття 308. Викрадення, привласнення, вимагання наркотичних засобів, психотропних речовин або їх аналогів чи заволодіння ними шляхом шахрайства або зловживання службовим становищем",2019,28,18,7,2,5,0,0,0,0,0,0,0
308,"Стаття 308. Викрадення, привласнення, вимагання наркотичних засобів, психотропних речовин або їх аналогів чи заволодіння ними шляхом шахрайства або зловживання службовим становищем",2021,356,268,6,2,4,0,0,0,0,0,0,0
308,"Стаття 308. Викрадення, привласнення, вимагання наркотичних засобів, психотропних речовин або їх аналогів чи заволодіння ними шляхом шахрайства або зловживання службовим становищем",2020,51,25,8,7,1,0,0,0,0,0,0,0
308,"Стаття 308. Викрадення, привласнення, вимагання наркотичних засобів, психотропних речовин або їх аналогів чи заволодіння ними шляхом шахрайства або зловживання службовим становищем",2024,5301,4491,46,37,9,0,0,0,0,0,0,0
308,"Стаття 308. Викрадення, привласнення, вимагання наркотичних засобів, психотропних речовин або їх аналогів чи заволодіння ними шляхом шахрайства або зловживання службовим становищем",2022,338,315,8,6,1,1,0,0,0,0,0,0
308,"Стаття 308. Викрадення, привласнення, вимагання наркотичних засобів, психотропних речовин або їх аналогів чи заволодіння ними шляхом шахрайства або зловживання службовим становищем",2016,28,27,16,14,2,0,0,0,0,0,0,0
308,"Стаття 308. Викрадення, привласнення, вимагання наркотичних засобів, психотропних речовин або їх аналогів чи заволодіння ними шляхом шахрайства або зловживання службовим становищем",2018,21,11,9,6,2,0,0,0,0,1,0,0
308,"Стаття 308. Викрадення, привласнення, вимагання наркотичних засобів, психотропних речовин або їх аналогів чи заволодіння ними шляхом шахрайства або зловживання службовим становищем",2015,31,24,15,10,5,0,0,0,0,0,0,0
308,"Стаття 308. Викрадення, привласнення, вимагання наркотичних засобів, психотропних речовин або їх аналогів чи заволодіння ними шляхом шахрайства або зловживання службовим становищем",2014,35,33,36,23,11,0,0,0,0,2,0,0
308,"Стаття 308. Викрадення, привласнення, вимагання наркотичних засобів, психотропних речовин або їх аналогів чи заволодіння ними шляхом шахрайства або зловживання службовим становищем",2023,1333,1187,18,11,7,0,0,0,0,0,0,0
308,"Стаття 308. Викрадення, привласнення, вимагання наркотичних засобів, психотропних речовин або їх аналогів чи заволодіння ними шляхом шахрайства або зловживання службовим становищем",2017,28,24,20,12,7,0,0,0,0,1,0,0
312,"Стаття 312. Викрадення, привласнення, вимагання прекурсорів або заволодіння ними шляхом шахрайства або зловживання службовим становищем",2024,0,0,0,0,0,0,0,0,0,0,0,0
312,"Стаття 312. Викрадення, привласнення, вимагання прекурсорів або заволодіння ними шляхом шахрайства або зловживання службовим становищем",2016,2,0,0,0,0,0,0,0,0,0,0,0
312,"Стаття 312. Викрадення, привласнення, вимагання прекурсорів або заволодіння ними шляхом шахрайства або зловживання службовим становищем",2014,2,0,1,0,1,0,0,0,0,0,0,0
312,"Стаття 312. Викрадення, привласнення, вимагання прекурсорів або заволодіння ними шляхом шахрайства або зловживання службовим становищем",2020,4,3,0,0,0,0,0,0,0,0,0,0
312,"Стаття 312. Викрадення, привласнення, вимагання прекурсорів або заволодіння ними шляхом шахрайства або зловживання службовим становищем",2022,0,0,0,0,0,0,0,0,0,0,0,0
312,"Стаття 312. Викрадення, привласнення, вимагання прекурсорів або заволодіння ними шляхом шахрайства або зловживання службовим становищем",2017,0,0,0,0,0,0,0,0,0,0,0,0
312,"Стаття 312. Викрадення, привласнення, вимагання прекурсорів або заволодіння ними шляхом шахрайства або зловживання службовим становищем",2021,2,1,0,0,0,0,0,0,0,0,0,0
312,"Стаття 312. Викрадення, привласнення, вимагання прекурсорів або заволодіння ними шляхом шахрайства або зловживання службовим становищем",2018,2,1,1,0,0,0,0,0,0,1,0,0
312,"Стаття 312. Викрадення, привласнення, вимагання прекурсорів або заволодіння ними шляхом шахрайства або зловживання службовим становищем",2015,0,0,0,0,0,0,0,0,0,0,0,0
312,"Стаття 312. Викрадення, привласнення, вимагання прекурсорів або заволодіння ними шляхом шахрайства або зловживання службовим становищем",2023,0,0,0,0,0,0,0,0,0,0,0,0
312,"Стаття 312. Викрадення, привласнення, вимагання прекурсорів або заволодіння ними шляхом шахрайства або зловживання службовим становищем",2013,0,0,0,0,0,0,0,0,0,0,0,0
312,"Стаття 312. Викрадення, привласнення, вимагання прекурсорів або заволодіння ними шляхом шахрайства або зловживання службовим становищем",2019,3,0,0,0,0,0,0,0,0,0,0,0
