Article,nazva,Year,ACC,TOTPROV,CONVIC,PROB,IMP,RESTOL,ARREST,CORRW,PUBLW,FINE,DEPR,LIFEIMP
368-3,Стаття 368-3. Підкуп службової особи юридичної особи приватного права незалежно від організаційно-правової форми,2022,42,11,4,0,0,0,0,0,0,4,0,0
368-3,Стаття 368-3. Підкуп службової особи юридичної особи приватного права незалежно від організаційно-правової форми,2015,78,54,39,7,1,0,0,1,4,26,0,0
368-3,Стаття 368-3. Підкуп службової особи юридичної особи приватного права незалежно від організаційно-правової форми,2014,117,70,39,2,1,0,0,0,0,28,0,0
368-3,Стаття 368-3. Підкуп службової особи юридичної особи приватного права незалежно від організаційно-правової форми,2013,112,84,44,0,3,1,0,0,0,38,1,0
368-3,Стаття 368-3. Підкуп службової особи юридичної особи приватного права незалежно від організаційно-правової форми,2018,66,18,8,0,0,0,0,0,2,6,0,0
368-3,Стаття 368-3. Підкуп службової особи юридичної особи приватного права незалежно від організаційно-правової форми,2021,59,35,7,0,0,0,0,0,4,3,0,0
368-3,Стаття 368-3. Підкуп службової особи юридичної особи приватного права незалежно від організаційно-правової форми,2024,50,17,10,0,0,0,0,0,1,9,0,0
368-3,Стаття 368-3. Підкуп службової особи юридичної особи приватного права незалежно від організаційно-правової форми,2016,58,31,11,2,0,0,0,0,1,8,0,0
368-3,Стаття 368-3. Підкуп службової особи юридичної особи приватного права незалежно від організаційно-правової форми,2019,68,44,15,0,0,0,1,0,0,14,0,0
368-3,Стаття 368-3. Підкуп службової особи юридичної особи приватного права незалежно від організаційно-правової форми,2023,38,16,3,0,0,0,0,0,0,3,0,0
368-3,Стаття 368-3. Підкуп службової особи юридичної особи приватного права незалежно від організаційно-правової форми,2020,33,9,6,0,0,0,0,0,2,4,0,0
368-4,"Стаття 368-4. Підкуп особи, яка надає публічні послуги",2022,14,2,2,1,0,0,0,0,0,1,0,0
368-4,"Стаття 368-4. Підкуп особи, яка надає публічні послуги",2023,10,2,2,0,0,0,0,0,0,2,0,0
368-4,"Стаття 368-4. Підкуп особи, яка надає публічні послуги",2019,49,29,4,0,0,0,0,0,0,4,0,0
368-4,"Стаття 368-4. Підкуп особи, яка надає публічні послуги",2018,31,14,7,0,0,0,0,0,0,7,0,0
368-4,"Стаття 368-4. Підкуп особи, яка надає публічні послуги",2016,15,9,9,1,0,0,0,0,0,8,0,0
368-4,"Стаття 368-4. Підкуп особи, яка надає публічні послуги",2024,12,5,2,0,0,0,0,0,0,2,0,0
368-4,"Стаття 368-4. Підкуп особи, яка надає публічні послуги",2014,18,10,9,2,2,0,0,0,0,5,0,0
368-4,"Стаття 368-4. Підкуп особи, яка надає публічні послуги",2013,21,11,6,2,0,0,0,0,0,3,0,0
368-4,"Стаття 368-4. Підкуп особи, яка надає публічні послуги",2015,29,18,8,2,0,0,0,0,0,5,0,0
368-4,"Стаття 368-4. Підкуп особи, яка надає публічні послуги",2021,19,4,1,0,0,0,0,0,0,1,0,0
368-4,"Стаття 368-4. Підкуп особи, яка надає публічні послуги",2020,18,6,2,0,0,0,0,0,0,2,0,0
368-4,"Стаття 368-4. Підкуп особи, яка надає публічні послуги",2017,55,28,1,0,0,0,0,0,0,1,0,0
368-5,Стаття 368-5. Незаконне збагачення,2020,10,0,0,0,0,0,0,0,0,0,0,0
368-5,Стаття 368-5. Незаконне збагачення,2022,17,0,0,0,0,0,0,0,0,0,0,0
368-5,Стаття 368-5. Незаконне збагачення,2024,102,0,0,0,0,0,0,0,0,0,0,0
368-5,Стаття 368-5. Незаконне збагачення,2023,77,0,0,0,0,0,0,0,0,0,0,0
368-5,Стаття 368-5. Незаконне збагачення,2021,18,0,0,0,0,0,0,0,0,0,0,0
369,"Стаття 369. Пропозиція, обіцянка або надання неправомірної вигоди службовій особі",2016,430,170,92,4,1,3,0,0,0,84,0,0
369,"Стаття 369. Пропозиція, обіцянка або надання неправомірної вигоди службовій особі",2015,286,161,123,34,3,4,0,0,2,79,0,0
369,"Стаття 369. Пропозиція, обіцянка або надання неправомірної вигоди службовій особі",2024,2136,1513,1286,1,22,6,0,0,0,1255,0,1
369,"Стаття 369. Пропозиція, обіцянка або надання неправомірної вигоди службовій особі",2021,1577,1029,847,4,17,9,0,0,0,815,0,0
369,"Стаття 369. Пропозиція, обіцянка або надання неправомірної вигоди службовій особі",2018,785,433,229,2,12,1,0,0,0,214,0,0
369,"Стаття 369. Пропозиція, обіцянка або надання неправомірної вигоди службовій особі",2023,2041,1422,1239,3,20,6,0,0,0,1208,0,1
369,"Стаття 369. Пропозиція, обіцянка або надання неправомірної вигоди службовій особі",2022,1512,1019,851,5,19,6,1,0,0,819,0,0
369,"Стаття 369. Пропозиція, обіцянка або надання неправомірної вигоди службовій особі",2019,1121,612,419,3,19,2,0,0,0,394,0,0
369,"Стаття 369. Пропозиція, обіцянка або надання неправомірної вигоди службовій особі",2014,390,260,106,51,7,3,0,0,2,38,0,0
369,"Стаття 369. Пропозиція, обіцянка або надання неправомірної вигоди службовій особі",2020,1348,841,598,0,13,3,0,0,1,580,0,1
369,"Стаття 369. Пропозиція, обіцянка або надання неправомірної вигоди службовій особі",2017,556,244,123,5,4,2,1,0,0,110,0,0
369,"Стаття 369. Пропозиція, обіцянка або надання неправомірної вигоди службовій особі",2013,351,255,80,33,4,2,0,0,3,37,0,0
369-2,Стаття 369-2. Зловживання впливом,2023,411,177,119,0,1,0,0,0,0,117,0,0
369-2,Стаття 369-2. Зловживання впливом,2014,131,108,60,9,1,0,0,0,0,41,0,0
369-2,Стаття 369-2. Зловживання впливом,2022,220,91,87,0,2,0,0,0,0,84,0,0
369-2,Стаття 369-2. Зловживання впливом,2015,208,160,100,6,8,0,0,0,0,80,0,0
369-2,Стаття 369-2. Зловживання впливом,2021,249,126,117,0,1,0,0,0,0,113,0,0
369-2,Стаття 369-2. Зловживання впливом,2020,193,110,76,0,2,0,0,0,0,74,0,0
369-2,Стаття 369-2. Зловживання впливом,2013,94,74,27,9,1,0,0,0,0,17,0,0
369-2,Стаття 369-2. Зловживання впливом,2016,254,179,144,1,3,0,0,0,0,135,0,0
369-2,Стаття 369-2. Зловживання впливом,2019,193,121,143,1,1,0,0,0,0,140,0,0
369-2,Стаття 369-2. Зловживання впливом,2024,707,293,190,1,3,0,0,0,0,183,0,0
369-2,Стаття 369-2. Зловживання впливом,2017,249,170,149,1,3,0,0,0,0,142,0,0
369-2,Стаття 369-2. Зловживання впливом,2018,285,175,165,0,3,0,0,0,0,159,0,0
410,"Стаття 410. Викрадення, привласнення, вимагання військовослужбовцем зброї, бойових припасів, вибухових або інших бойових речовин, засобів пересування, військової та спеціальної техніки чи іншого військового майна, а також заволодіння ними шляхом шахрайства або зловживання службовим становищем",2014,288,62,58,26,7,0,7,0,0,4,0,0
410,"Стаття 410. Викрадення, привласнення, вимагання військовослужбовцем зброї, бойових припасів, вибухових або інших бойових речовин, засобів пересування, військової та спеціальної техніки чи іншого військового майна, а також заволодіння ними шляхом шахрайства або зловживання службовим становищем",2015,191,68,80,55,11,0,1,0,0,2,0,0
410,"Стаття 410. Викрадення, привласнення, вимагання військовослужбовцем зброї, бойових припасів, вибухових або інших бойових речовин, засобів пересування, військової та спеціальної техніки чи іншого військового майна, а також заволодіння ними шляхом шахрайства або зловживання службовим становищем",2016,177,38,33,18,3,0,1,0,0,4,0,0
410,"Стаття 410. Викрадення, привласнення, вимагання військовослужбовцем зброї, бойових припасів, вибухових або інших бойових речовин, засобів пересування, військової та спеціальної техніки чи іншого військового майна, а також заволодіння ними шляхом шахрайства або зловживання службовим становищем",2013,95,54,63,27,6,0,0,0,0,18,0,0
410,"Стаття 410. Викрадення, привласнення, вимагання військовослужбовцем зброї, бойових припасів, вибухових або інших бойових речовин, засобів пересування, військової та спеціальної техніки чи іншого військового майна, а також заволодіння ними шляхом шахрайства або зловживання службовим становищем",2018,132,17,25,15,3,0,0,0,0,3,0,0
410,"Стаття 410. Викрадення, привласнення, вимагання військовослужбовцем зброї, бойових припасів, вибухових або інших бойових речовин, засобів пересування, військової та спеціальної техніки чи іншого військового майна, а також заволодіння ними шляхом шахрайства або зловживання службовим становищем",2022,250,24,16,6,2,0,0,0,0,2,0,0
410,"Стаття 410. Викрадення, привласнення, вимагання військовослужбовцем зброї, бойових припасів, вибухових або інших бойових речовин, засобів пересування, військової та спеціальної техніки чи іншого військового майна, а також заволодіння ними шляхом шахрайства або зловживання службовим становищем",2019,236,19,15,14,1,0,0,0,0,0,0,0
410,"Стаття 410. Викрадення, привласнення, вимагання військовослужбовцем зброї, бойових припасів, вибухових або інших бойових речовин, засобів пересування, військової та спеціальної техніки чи іншого військового майна, а також заволодіння ними шляхом шахрайства або зловживання службовим становищем",2020,184,13,16,6,4,0,1,0,0,1,0,0
410,"Стаття 410. Викрадення, привласнення, вимагання військовослужбовцем зброї, бойових припасів, вибухових або інших бойових речовин, засобів пересування, військової та спеціальної техніки чи іншого військового майна, а також заволодіння ними шляхом шахрайства або зловживання службовим становищем",2023,229,10,5,1,1,0,0,0,0,1,0,0
410,"Стаття 410. Викрадення, привласнення, вимагання військовослужбовцем зброї, бойових припасів, вибухових або інших бойових речовин, засобів пересування, військової та спеціальної техніки чи іншого військового майна, а також заволодіння ними шляхом шахрайства або зловживання службовим становищем",2021,191,11,21,12,1,1,0,0,0,0,0,0
410,"Стаття 410. Викрадення, привласнення, вимагання військовослужбовцем зброї, бойових припасів, вибухових або інших бойових речовин, засобів пересування, військової та спеціальної техніки чи іншого військового майна, а також заволодіння ними шляхом шахрайства або зловживання службовим становищем",2017,248,38,37,19,5,0,1,0,0,3,0,0
410,"Стаття 410. Викрадення, привласнення, вимагання військовослужбовцем зброї, бойових припасів, вибухових або інших бойових речовин, засобів пересування, військової та спеціальної техніки чи іншого військового майна, а також заволодіння ними шляхом шахрайства або зловживання службовим становищем",2024,243,32,14,6,5,0,0,0,0,0,0,0
